305	Test package information
306	Package information does not match the current targets. Query it again
307	Test package: {package}
308	Test parameters changed. Start again to verify the current configuration
309	Clear device logs
310	Clear activity log
311	Clear selection
312	Clear data
313	Reset simulated battery values
314	Clear device selection
315	Clear data and cache for the app with the entered package name
316	Use Refresh beside the device list to try again. If no devices are found, restart ADB in Settings.
317	Version name unavailable
318	Status: {localized}
319	Status: Idle
320	Generate bugreport
321	Battery
322	Battery & quick settings
323	Power
324	Phone number
325	Battery {battery}
326	Camera
327	Message text
328	Bit rate:
329	Hardware platform
330	Hardware encoding
331	Confirm
332	Restart the local ADB service after confirmation
333	Disable audio
334	Motion
335	Remove reverse
336	Remove forward
337	Remove the entered reverse port forwarding rule
338	Remove the entered forward port forwarding rule
339	Idle
340	Always on top
341	Portrait
342	Port forwarding
343	Manage apps
344	Manage files
345	System
346	System & diagnostics
347	System tools
348	Device selection status for system operations
349	System services (svc)
350	System keys
351	Latitude
352	Component (package/.Activity) or Action
353	Longitude
354	Kill PID
355	Terminate the entered process ID
356	Buffer:
357	Codec:
358	Pinch zoom
359	Network statistics
360	Query package info
361	Get current app
362	Query test package installation and version information on selected devices
363	Could not query package information. Try again
364	Menu
365	Inspect APK
366	Touch
367	Keep the mirror window above other windows
368	Device
369	Device {index}: Installed · {version} ({code}) · target SDK {sdk}
370	Devices & connections
371	Device info
372	Device address
373	Device actions
374	Device identifier
375	Device features
376	Device offline
377	Device port
378	Settings
379	Set GPS
380	Setting value
381	Set emulator location coordinates
382	Setting key
383	Details
384	Select exactly one device to read the current app
385	Enter an app package name first
386	Connect a device first
387	Select {name} first, then {action}
388	Select one device before using remote control
389	Select a device first
390	Select a device first; its information will appear in the task activity log
391	Please wait. For USB connections, allow USB debugging on your device.
392	Select one device
393	Read value
394	Read the foreground app package name
395	Read the specified Android setting
396	Trackball
397	Enter a Content URI
398	Enter an adb shell command…
399	Enter a broadcast Action
400	Enter or select an app package name
401	Enter a wireless address or use saved connection history
402	Enter a wireless debugging address or use saved connection history
403	Input method ID
404	Input methods & emulator control
405	List input methods
406	Enter a deep link URL
407	Enter an email address, verification code or other text…
408	Run Dumpsys
409	Running
410	Uptime
411	Activity log
412	Back
413	List processes
414	Process snapshot
415	Remote
416	Remote session status
417	Remote keys & gestures
418	Remote control
419	Remote control requires exactly one selected device
420	Device selection status for remote control
421	Remote input queue status
422	Connect
423	Turn off the device screen after connecting
424	Connection unconfirmed
425	Connection unconfirmed · Keeping {count} devices from the last scan
426	Connect your first Android device
427	Connect device
428	Connect to the entered device address
429	Select one or more devices; running sessions keep their original devices
430	Select all devices in the list
431	Select or enter IP:port
432	Select target devices
433	Partially succeeded
434	Capture a process resource usage snapshot
435	Reboot
436	Restart ADB
437	Reboot & modes
438	Restart app
439	Reboot selected devices
440	Restart the local ADB service
441	Reboot device
442	Rescan online USB and wireless devices
443	Reset
444	Lock screen orientation (0 for automatic)
445	Error
446	Keep the device screen awake while mirroring
447	Interval:
448	Queue: 0
449	Queue: {queued}
450	This page is closing
451	Preset:
